depth,temp,salinity,oxygen
0,14.42139053,33.73501205,256.5267334
5,14.40969086,33.74688721,257.9241638
10,14.47670937,33.76528931,255.7089691
15,14.54289055,33.82030106,255.3635101
20,14.61050034,33.85998917,254.2109833
25,14.64690971,33.88528824,252.6777649
30,14.70919991,33.91808701,249.3628693
35,14.80029011,33.95969009,246.5044098
40,14.81960011,34.02178955,243.6901855
45,14.67750931,34.08638763,240.6095581
50,14.5927906,34.1729126,236.2866974
55,14.53090954,34.30150986,230.7351685
60,14.3810997,34.42049026,223.2979584
65,14.27270031,34.55721283,216.4483948
70,14.04030037,34.66318893,210.3373108
75,13.9622097,34.76721191,204.1374054
80,13.96790028,34.94260025,203.4450226
85,14.01749039,35.09481049,200.642807
90,13.91709995,35.15621185,195.6610107
95,13.84000969,35.33248901,191.3340912
100,13.69319057,35.39580154,189.49646
125,13.85339069,35.68418884,NaN
150,NaN,NaN,NaN
175,NaN,NaN,NaN
200,NaN,NaN,NaN
225,NaN,NaN,NaN
250,NaN,NaN,NaN
275,NaN,NaN,NaN
300,NaN,NaN,NaN
325,NaN,NaN,NaN
350,NaN,NaN,NaN
375,NaN,NaN,NaN
400,NaN,NaN,NaN
425,NaN,NaN,NaN
450,NaN,NaN,NaN
475,NaN,NaN,NaN
500,NaN,NaN,NaN
550,NaN,NaN,NaN
600,NaN,NaN,NaN
650,NaN,NaN,NaN
700,NaN,NaN,NaN
750,NaN,NaN,NaN
800,NaN,NaN,NaN
850,NaN,NaN,NaN
900,NaN,NaN,NaN
950,NaN,NaN,NaN
1000,NaN,NaN,NaN
1050,NaN,NaN,NaN
1100,NaN,NaN,NaN
1150,NaN,NaN,NaN
1200,NaN,NaN,NaN
1250,NaN,NaN,NaN
1300,NaN,NaN,NaN
1350,NaN,NaN,NaN
1400,NaN,NaN,NaN
1450,NaN,NaN,NaN
1500,NaN,NaN,NaN
